"","sub_num","run_num","file_name","trial_num","rt","response","t_direction","accuracy","target_position_1","target_position_2","target_position_3","target_position_4","target_location_type","target_number","trialTypeValid0Invalid1","trialTypeExtraTarget1NoExtraTarget0","extraTargetShapeNumber","extraTargetShapePosition","extraTargetShapeType"
"2",1,1,"Stimuli\scenes\practiceScenes\pexels-curtis-adams-15062155.jpg",1,6632,"/?","R",1,1156,128,1252,224,1,11,0,0,0,0,0
"3",1,1,"Stimuli\scenes\practiceScenes\pexels-keegan-checks-10117737.jpg",2,2434,"z","L",1,1532,956,1628,1052,2,19,0,0,0,0,0
"4",1,1,"Stimuli\scenes\practiceScenes\pexels-christa-grover-2001944.jpg",3,2506,"z","L",1,1436,540,1532,636,3,12,0,0,0,0,0
"5",1,1,"Stimuli\scenes\practiceScenes\075_L_filler_absent_light.jpg",4,2081,"z","L",1,656,436,752,532,1,1,0,0,0,0,0
"6",1,1,"Stimuli\scenes\practiceScenes\pexels-curtis-adams-6510985.jpg",5,1643,"z","L",1,1590,686,1686,782,3,12,0,0,0,0,0
"7",1,1,"Stimuli\scenes\practiceScenes\pexels-curtis-adams-5502249.jpg",6,1770,"z","L",1,686,124,782,220,1,11,0,0,0,0,0
"8",1,1,"Stimuli\scenes\practiceScenes\pexels-max-rahubovskiy-6969860.jpg",7,1281,"/?","R",1,912,130,1008,226,1,1,0,0,0,0,0
"9",1,1,"Stimuli\scenes\practiceScenes\pexels-curtis-adams-5698015.jpg",8,1919,"/?","R",1,1472,948,1568,1044,2,19,0,0,0,0,0
"10",1,1,"Stimuli\scenes\practiceScenes\AdobeStock_133612805.jpeg",9,2012,"/?","R",1,174,342,270,438,1,11,0,0,0,0,0
"11",1,1,"Stimuli\scenes\practiceScenes\pexels-curtis-adams-8583543.jpg",10,2156,"z","L",1,190,42,286,138,1,1,0,0,0,0,0
"12",1,1,"Stimuli\scenes\practiceScenes\pexels-pixabay-279648.jpg",11,1856,"/?","R",1,1756,478,1852,574,3,12,0,0,0,0,0
