"","sub_num","trialTypeValid0Invalid1","trialTypeExtraTarget1NoExtraTarget0","meanRT","Validity","additionalTargetDistractor"
"1","1",0,0,1060.14285714286,"Valid","No distractor present"
"2","1",0,1,1154.34328358209,"Valid","Distractor present"
"3","1",1,0,1123.88888888889,"Invalid","No distractor present"
"4","1",1,1,1197.4,"Invalid","Distractor present"
"5","2",0,0,1113.3488372093,"Valid","No distractor present"
"6","2",0,1,1190.47328244275,"Valid","Distractor present"
"7","2",1,0,1148.33333333333,"Invalid","No distractor present"
"8","2",1,1,1213.90909090909,"Invalid","Distractor present"
"9","3",0,0,1166.86153846154,"Valid","No distractor present"
"10","3",0,1,1098.85,"Valid","Distractor present"
"11","3",1,0,1114.31818181818,"Invalid","No distractor present"
"12","3",1,1,1311.84210526316,"Invalid","Distractor present"
"13","4",0,0,1109.86956521739,"Valid","No distractor present"
"14","4",0,1,1048.71428571429,"Valid","Distractor present"
"15","4",1,0,1295.42857142857,"Invalid","No distractor present"
"16","4",1,1,1061.75,"Invalid","Distractor present"
"17","5",0,0,1131.93939393939,"Valid","No distractor present"
"18","5",0,1,1143.37209302326,"Valid","Distractor present"
"19","5",1,0,1099.65909090909,"Invalid","No distractor present"
"20","5",1,1,1281.61363636364,"Invalid","Distractor present"
"21","6",0,0,955.916666666667,"Valid","No distractor present"
"22","6",0,1,1016.390625,"Valid","Distractor present"
"23","6",1,0,1025.84444444444,"Invalid","No distractor present"
"24","6",1,1,1081.58139534884,"Invalid","Distractor present"
"25","7",0,0,1107.05691056911,"Valid","No distractor present"
"26","7",0,1,1094.59322033898,"Valid","Distractor present"
"27","7",1,0,1099.4358974359,"Invalid","No distractor present"
"28","7",1,1,1154.78125,"Invalid","Distractor present"
"29","8",0,0,945.067164179104,"Valid","No distractor present"
"30","8",0,1,950.619402985075,"Valid","Distractor present"
"31","8",1,0,970.5,"Invalid","No distractor present"
"32","8",1,1,998.47619047619,"Invalid","Distractor present"
"33","9",0,0,1272.10743801653,"Valid","No distractor present"
"34","9",0,1,1277.65546218487,"Valid","Distractor present"
"35","9",1,0,1385.71794871795,"Invalid","No distractor present"
"36","9",1,1,1361.51724137931,"Invalid","Distractor present"
"37","10",0,0,1175.06870229008,"Valid","No distractor present"
"38","10",0,1,1194.99212598425,"Valid","Distractor present"
"39","10",1,0,1191.95238095238,"Invalid","No distractor present"
"40","10",1,1,1295.73170731707,"Invalid","Distractor present"
"41","11",0,0,1131.536,"Valid","No distractor present"
"42","11",0,1,1178.46825396825,"Valid","Distractor present"
"43","11",1,0,1237,"Invalid","No distractor present"
"44","11",1,1,1153.09302325581,"Invalid","Distractor present"
"45","12",0,0,1114.184,"Valid","No distractor present"
"46","12",0,1,1088.20512820513,"Valid","Distractor present"
"47","12",1,0,1220.4,"Invalid","No distractor present"
"48","12",1,1,1174.23255813953,"Invalid","Distractor present"
"49","13",0,0,1197.42342342342,"Valid","No distractor present"
"50","13",0,1,1190.58260869565,"Valid","Distractor present"
"51","13",1,0,1270.05,"Invalid","No distractor present"
"52","13",1,1,1312.43243243243,"Invalid","Distractor present"
"53","14",0,0,1269.22222222222,"Valid","No distractor present"
"54","14",0,1,1242.921875,"Valid","Distractor present"
"55","14",1,0,1230.64285714286,"Invalid","No distractor present"
"56","14",1,1,1191.14285714286,"Invalid","Distractor present"
"57","15",0,0,1540.07894736842,"Valid","No distractor present"
"58","15",0,1,1524.96581196581,"Valid","Distractor present"
"59","15",1,0,1585.08333333333,"Invalid","No distractor present"
"60","15",1,1,1588.57575757576,"Invalid","Distractor present"
"61","16",0,0,936.5,"Valid","No distractor present"
"62","16",0,1,972.607692307692,"Valid","Distractor present"
"63","16",1,0,1080.90243902439,"Invalid","No distractor present"
"64","16",1,1,1142.46511627907,"Invalid","Distractor present"
"65","17",0,0,1065.59689922481,"Valid","No distractor present"
"66","17",0,1,1164.74576271186,"Valid","Distractor present"
