sub_num,run_num,file_name,trial_num,rt,response,t_direction,accuracy,target_position_1,target_position_2,target_position_3,target_position_4,target_location_type,target_number,trialTypeValid0Invalid1,trialTypeExtraTarget1NoExtraTarget0,extraTargetShapeNumber,extraTargetShapePosition,extraTargetShapeType
19,2,Stimuli\scenes\mainScenes\pexels-curtis-adams-8031902.jpg,1,1542,z,L,1,148,688,253.6,793.6,3,21,0,1,14,4,3
19,2,Stimuli\scenes\mainScenes\pexels-curtis-adams-8583875.jpg,2,1371,z,L,1,766,578,871.6,683.6,3,20,1,1,15,4,2
19,2,Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-6489116.jpg,3,1499,z,L,1,1634,344,1739.6,449.6,1,15,0,0,0,0,0
19,2,Stimuli\scenes\mainScenes\pexels-curtis-adams-3990599.jpg,4,877,/?,R,1,680,516,785.6,621.6,2,14,0,1,15,1,3
19,2,Stimuli\scenes\mainScenes\pexels-alexander-zvir-4252510.jpg,5,1870,z,L,1,1230,912,1335.6,1017.6,2,20,1,0,0,0,0
19,2,Stimuli\scenes\mainScenes\pexels-get-lost-mike-10450051.jpg,6,2146,z,L,1,1450,660,1555.6,765.6,3,21,0,0,0,0,0
19,2,Stimuli\scenes\mainScenes\pexels-curtis-adams-8186477.jpg,7,1568,z,L,1,246,258,351.6,363.6,1,15,0,1,20,4,2
19,2,Stimuli\scenes\mainScenes\pexels-jean-van-der-meulen-1599791.jpg,8,1582,/?,R,1,850,922,955.6,1027.6,2,14,0,0,0,0,0
19,2,Stimuli\scenes\mainScenes\pexels-curtis-adams-15062099.jpg,9,3024,/?,R,1,1092,414,1197.6,519.6,1,20,0,0,0,0,0
19,2,Stimuli\scenes\mainScenes\pexels-curtis-adams-7027852.jpg,10,1029,/?,R,1,246,630,351.6,735.6,3,21,0,0,0,0,0
19,2,Stimuli\scenes\mainScenes\pexels-mark-mccammon-2724749.jpg,11,2054,z,L,1,216,466,321.6,571.6,1,15,0,1,21,3,3
19,2,Stimuli\scenes\mainScenes\pexels-get-lost-mike-8504308.jpg,12,1284,z,L,1,360,946,465.6,1051.6,2,14,0,1,21,1,2
19,2,Stimuli\scenes\mainScenes\pexels-curtis-adams-15062094.jpg,13,741,z,L,1,1230,578,1335.6,683.6,3,14,1,1,20,1,1
19,2,Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-7060815.jpg,14,1093,/?,R,1,1028,176,1133.6,281.6,1,20,0,0,0,0,0
19,2,Stimuli\scenes\mainScenes\pexels-curtis-adams-5900798.jpg,15,1524,z,L,1,88,190,193.6,295.6,1,21,1,0,0,0,0
19,2,Stimuli\scenes\mainScenes\pexels-curtis-adams-3773573.jpg,16,1053,z,L,1,360,304,465.6,409.6,1,15,0,1,14,3,2
