sub_num,run_num,file_name,trial_num,rt,response,t_direction,accuracy,target_position_1,target_position_2,target_position_3,target_position_4,target_location_type,target_number,trialTypeValid0Invalid1,trialTypeExtraTarget1NoExtraTarget0,extraTargetShapeNumber,extraTargetShapePosition,extraTargetShapeType
13,4,Stimuli\scenes\mainScenes\AdobeStock_41005076.jpeg,1,1158,z,L,1,1114,894,1219.6,999.6,2,20,1,1,11,1,3
13,4,Stimuli\scenes\mainScenes\pexels-curtis-adams-8031902.jpg,2,945,z,L,1,308,188,413.6,293.6,1,19,0,1,20,4,3
13,4,Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-6956124.jpg,3,916,/?,R,1,1148,914,1253.6,1019.6,2,4,0,1,20,3,1
13,4,Stimuli\scenes\mainScenes\AdobeStock_214273596.jpeg,4,1001,z,L,1,808,472,913.6,577.6,1,11,1,0,0,0,0
13,4,Stimuli\scenes\mainScenes\pexels-curtis-adams-15062154.jpg,5,669,z,L,1,534,340,639.6,445.6,1,19,0,0,0,0,0
13,4,Stimuli\scenes\mainScenes\pexels-loi-bui-trong-17158648.jpg,6,1305,/?,R,1,164,826,269.6,931.6,2,4,0,0,0,0,0
13,4,Stimuli\scenes\mainScenes\pexels-curtis-adams-4221389.jpg,7,987,/?,R,1,474,754,579.6,859.6,3,20,0,0,0,0,0
13,4,Stimuli\scenes\mainScenes\pexels-curtis-adams-5900806.jpg,8,800,/?,R,1,936,544,1041.6,649.6,3,11,0,1,20,3,2
13,4,Stimuli\scenes\mainScenes\pexels-get-lost-mike-8561916.jpg,9,831,z,R,0,254,206,359.6,311.6,1,19,0,0,0,0,0
13,4,Stimuli\scenes\mainScenes\pexels-get-lost-mike-8504308.jpg,10,1223,/?,R,1,1648,562,1753.6,667.6,3,20,0,0,0,0,0
13,4,Stimuli\scenes\mainScenes\pexels-curtis-adams-7027784.jpg,11,2260,/?,R,1,1152,206,1257.6,311.6,1,4,1,1,19,1,1
13,4,Stimuli\scenes\mainScenes\022_L_filler_absent_lamp.jpg,12,1314,z,L,1,1278,626,1383.6,731.6,3,11,0,1,20,4,2
13,4,Stimuli\scenes\mainScenes\AdobeStock_216902241.jpeg,13,2982,z,L,1,660,288,765.6,393.6,3,20,0,0,0,0,0
13,4,Stimuli\scenes\mainScenes\pexels-curtis-adams-8186477.jpg,14,1196,z,L,1,336,888,441.6,993.6,3,19,1,0,0,0,0
13,4,Stimuli\scenes\mainScenes\pexels-level-media-3016430.jpg,15,1553,/?,R,1,308,566,413.6,671.6,3,11,0,1,4,2,3
13,4,Stimuli\scenes\mainScenes\pexels-loi-bui-trong-17181942.jpg,16,835,/?,R,1,576,920,681.6,1025.6,2,4,0,1,19,2,1
13,4,Stimuli\scenes\mainScenes\pexels-curtis-adams-3773573.jpg,17,1209,z,L,1,986,920,1091.6,1025.6,2,20,1,0,0,0,0
13,4,Stimuli\scenes\mainScenes\pexels-curtis-adams-6835139.jpg,18,769,/?,R,1,820,800,925.6,905.6,2,4,0,1,11,2,3
13,4,Stimuli\scenes\mainScenes\pexels-curtis-adams-7601072.jpg,19,807,z,R,0,462,522,567.6,627.6,3,11,0,0,0,0,0
13,4,Stimuli\scenes\mainScenes\pexels-max-rahubovskiy-6489116.jpg,20,1701,z,L,1,214,912,319.6,1017.6,2,19,1,1,4,4,3
13,4,Stimuli\scenes\mainScenes\pexels-pixabay-271647.jpg,21,777,/?,R,1,538,394,643.6,499.6,1,19,0,0,0,0,0
