fixDuration,previousFixationRect,trialNum,thisTrialExtraTarget,thisTrialIncorrectTargetLocation,targetInds,targetPositionInds
386.172200000146,3,1,0,0,6,3
506.030100000316,2,2,0,0,10,2
111.748899999839,1,3,1,0,11,4
413.962499999798,4,3,1,0,11,4
179.999399999815,1,4,1,0,7,4
441.877300000215,4,4,1,0,7,4
457.860100000289,1,5,1,0,10,1
113.95309999989,2,6,0,1,6,3
503.925399999844,3,6,0,1,6,3
429.870999999821,3,7,0,0,7,3
573.917400000028,3,8,1,1,11,3
174.119100000098,1,9,0,1,6,4
177.959000000101,2,9,0,1,6,4
467.853699999978,4,9,0,1,6,4
418.005199999698,4,10,0,0,11,4
335.823400000208,2,11,1,0,7,2
231.968100000358,3,12,1,0,10,1
406.058700000358,1,12,1,0,10,1
148.025100000268,1,12,1,0,10,1
333.775399999922,2,13,0,0,6,2
583.948899999996,2,14,0,0,10,2
394.025900000088,2,15,1,1,11,2
112.002100000154,4,16,1,0,7,3
433.952999999747,3,16,1,0,7,3
165.974699999879,1,17,1,0,10,3
444.072499999947,3,17,1,0,10,3
66.0106999998789,4,18,1,0,6,2
384.050000000116,2,18,1,0,6,2
234.053399999993,4,19,1,1,11,1
663.985499999853,1,19,1,1,11,1
434.000499999911,4,20,1,0,7,4
387.847599999986,2,21,0,0,6,2
422.105300000112,1,22,0,1,10,1
150.012799999786,1,23,0,0,7,2
449.996299999839,2,23,0,0,7,2
91.9849000001705,3,24,0,0,11,4
55.9705000000577,2,24,0,0,11,4
563.973199999964,4,24,0,0,11,4
134.030300000177,4,25,1,0,6,1
509.917500000029,1,25,1,0,6,1
199.976200000037,3,26,0,1,10,4
407.875700000204,1,26,0,1,10,4
553.992500000277,4,26,0,1,10,4
139.954499999931,1,27,0,0,7,3
614.009899999928,3,27,0,0,7,3
542.153699999744,2,28,1,0,11,2
142.043699999704,2,29,0,0,6,4
69.9888999997711,3,29,0,0,6,4
462.195199999769,4,29,0,0,6,4
496.293800000331,1,30,0,0,10,1
536.025399999744,3,31,1,0,7,3
963.990100000046,1,32,1,1,11,1
462.045600000238,4,33,0,0,6,4
480.136299999685,1,34,1,1,7,1
209.849900000336,2,35,0,0,11,3
173.962700000175,1,35,0,0,11,3
814.116300000023,3,35,0,0,11,3
133.99120000031,3,36,1,0,10,1
434.205900000052,1,36,1,0,10,1
358.137100000022,1,37,0,1,6,1
540.10049999988,4,38,1,0,10,4
176.021799999944,3,39,0,0,11,2
448.054599999978,2,39,0,0,11,2
173.996999999872,1,40,1,0,7,3
578.226800000266,3,40,1,0,7,3
235.991699999886,1,41,1,0,6,4
602.183499999683,4,41,1,0,6,4
626.280499999666,1,42,0,0,10,1
151.996199999758,1,43,1,0,11,2
662.05489999993,2,43,1,0,11,2
416.21669999995,4,44,0,0,7,4
374.183699999776,4,45,0,0,6,4
546.347100000276,3,46,0,1,10,3
454.094899999745,1,47,1,0,7,1
240.023800000017,3,48,1,1,11,1
236.0220999999,4,48,1,1,11,1
738.066099999742,1,48,1,1,11,1
508.23150000042,3,49,0,0,6,3
412.251200000355,4,50,1,0,7,4
546.205099999952,1,51,1,0,10,1
175.964099999874,3,52,0,0,11,2
358.299600000009,2,52,0,0,11,2
526.084800000262,3,53,0,1,10,3
390.324999999848,1,54,1,1,6,1
532.147599999917,4,55,1,0,7,4
142.011899999943,3,56,0,0,11,4
456.295599999976,4,56,0,0,11,4
109.953600000154,2,57,0,0,6,4
394.448900000043,4,57,0,0,6,4
151.991499999895,1,58,0,0,11,4
141.995599999973,3,58,0,0,11,4
494.38710000004,4,58,0,0,11,4
478.392299999996,3,59,0,0,7,3
617.98940000017,4,60,1,0,10,4
